Feature,Importance
"cat__Lat Long_38.264262, -120.515133",8.022065698341209e-05
cat__City_Greenwood,8.006930289635472e-05
"cat__Lat Long_38.922812, -121.312005",8.002084471726605e-05
"cat__Lat Long_33.994676, -117.372498",7.986578801545002e-05
"cat__Lat Long_34.244411, -117.072654",7.941371467620821e-05
cat__City_Thousand Oaks,7.931420262757424e-05
"cat__Lat Long_37.776523, -122.219268",7.928705535504729e-05
cat__City_Etna,7.900292218681457e-05
cat__City_Indio,7.877646310233964e-05
"cat__Lat Long_33.801869, -117.995068",7.841243513209192e-05
cat__City_Exeter,7.840214604633907e-05
"cat__Lat Long_33.698728, -117.67768",7.829788875033999e-05
"cat__Lat Long_37.327069, -121.916819",7.826638103980972e-05
"cat__Lat Long_37.656695, -122.048361",7.812964396611707e-05
cat__City_Port Costa,7.797102663732788e-05
"cat__Lat Long_37.279689, -121.954567",7.79277667716998e-05
"cat__Lat Long_36.623632, -119.741322",7.786586406933251e-05
cat__City_San Juan Capistrano,7.769950609577366e-05
"cat__Lat Long_36.798882, -120.019511",7.753742892305297e-05
"cat__Lat Long_35.050345, -120.489599",7.725357225753483e-05
cat__City_Encino,7.70519317620747e-05
cat__City_Redondo Beach,7.698168328797958e-05
"cat__Lat Long_34.191842, -118.822796",7.691830345787252e-05
cat__City_Niland,7.686723333142593e-05
"cat__Lat Long_34.182378, -118.262922",7.684477313601507e-05
cat__City_Manteca,7.668969640522992e-05
cat__City_Alhambra,7.656834762310423e-05
cat__City_San Jacinto,7.642901325465799e-05
cat__City_Perris,7.641180165241415e-05
cat__City_Tollhouse,7.628396539952896e-05
cat__City_Winnetka,7.62082228325329e-05
cat__City_Redway,7.60287952865107e-05
cat__City_Imperial Beach,7.602208407504343e-05
cat__City_Mission Hills,7.598951022669138e-05
cat__City_Vista,7.594931334319994e-05
cat__City_Murrieta,7.590828917474431e-05
cat__City_Clovis,7.590093414003292e-05
"cat__Lat Long_37.943087, -122.72379",7.56125085475053e-05
cat__City_Highland,7.558385384594508e-05
cat__City_Sunnyvale,7.518944943512703e-05
"cat__Lat Long_38.526941, -122.709096",7.497882473125551e-05
cat__City_Myers Flat,7.480687537182922e-05
"cat__Lat Long_33.987945, -118.370442",7.46871308113847e-05
cat__City_Lake City,7.45840225675967e-05
cat__City_Ravendale,7.44940565563156e-05
"cat__Lat Long_34.074572, -118.831181",7.407300346605891e-05
cat__City_Avalon,7.403048941948415e-05
"cat__Lat Long_34.17211, -115.769773",7.385877201287852e-05
"cat__Lat Long_33.521447, -117.602555",7.382002660697748e-05
"cat__Lat Long_33.849263, -116.382778",7.375976964404328e-05
"cat__Lat Long_33.828289, -117.201666",7.364774500439804e-05
